Row Labels,code5,name,province_name,lat,lon,patient,count,budget,status,remark,ลำดับ,รหัสสถานบริการ,ชื่อสถานบริการ,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,สถานะการขึ้นทะเบียน,สังกัดหลัก,สังกัดย่อย,ที่ตั้ง,จำนวนเตียง,หน่วยบริการ,วันที่เข้า,วันที่ออก
04007-รพ.ซับใหญ่,4007,รพ.ซับใหญ่,ชัยภูมิ,15.6371074,101.6167305,20,20,60000,open,,1,4007,โรงพยาบาลซับใหญ่,ซับใหญ่,ซับใหญ่,ชัยภูมิ,เขต 9 นครราชสีมา,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,รัฐในสธ.(สังกัด สป.),โรงพยาบาลชุมชน (รพช.) / โรงพยาบาลยุพราช (รพร.),- หมู่ที่01 ซอย- ถนน- ตำบลซับใหญ่ อำเภอซับใหญ่ จังหวัดชัยภูมิ 36130,30,หน่วยบริการที่รับการส่งต่อทั่วไป CAPITATION,21/08/2563,-
,10661,,สระบุรี,,,-,-,-,-,,2,10661,โรงพยาบาลศูนย์สระบุรี,ปากเพรียว,เมืองสระบุรี,สระบุรี,เขต 4 สระบุรี,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,รัฐในสธ.(สังกัด สป.),โรงพยาบาลศูนย์ (รพศ.),18 หมู่ที่- ซอย- ถนนเทศบาล4 ตำบลปากเพรียว อำเภอเมืองสระบุรี จังหวัดสระบุรี 18000,700,หน่วยบริการที่รับการส่งต่อทั่วไป CAPITATION,26/12/2568,-
10662-รพ.ชลบุรี,10662,รพ.ชลบุรี,ชลบุรี,13.35215321,100.9821304,204,204,612000,open,,3,10662,โรงพยาบาลชลบุรี,บ้านสวน,เมืองชลบุรี,ชลบุรี,เขต 6 ระยอง,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,รัฐในสธ.(สังกัด สป.),โรงพยาบาลศูนย์ (รพศ.),69 หมู่ที่02 ซอย- ถนนสุขุมวิท ตำบลบ้านสวน อำเภอเมืองชลบุรี จังหวัดชลบุรี 20000,850,หน่วยบริการที่รับการส่งต่อทั่วไป CAPITATION,1/7/2564,-
10663-รพ.ระยอง,10663,รพ.ระยอง,ระยอง,12.682,101.2765,-,-,-,open,,4,10663,โรงพยาบาลศูนย์ระยอง,ท่าประดู่,เมืองระยอง,ระยอง,เขต 6 ระยอง,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,รัฐในสธ.(สังกัด สป.),โรงพยาบาลศูนย์ (รพศ.),138 หมู่ที่- ซอย- ถนนสุขุมวิท ตำบลท่าประดู่ อำเภอเมืองระยอง จังหวัดระยอง 21000,641,หน่วยบริการที่รับการส่งต่อทั่วไป CAPITATION,31/07/2568,-
10664-รพ.พระปกเกล้า,10664,รพ.พระปกเกล้า,จันทบุรี,12.60440016,102.1023162,164,164,492000,open,,5,10664,โรงพยาบาลศูนย์พระปกเกล้า,วัดใหม่,เมืองจันทบุรี,จันทบุรี,เขต 6 ระยอง,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,รัฐในสธ.(สังกัด สป.),โรงพยาบาลศูนย์ (รพศ.),38 หมู่ที่- ซอย- ถนนเลียบเนิน ตำบลวัดใหม่ อำเภอเมืองจันทบุรี จังหวัดจันทบุรี 22000,886,หน่วยบริการที่รับการส่งต่อทั่วไป CAPITATION,1/10/2561,-
10670-รพ.ขอนแก่น,10670,รพ.ขอนแก่น,ขอนแก่น,16.42925096,102.8491041,14,14,42000,open,,6,10670,โรงพยาบาลศูนย์ขอนแก่น,ในเมือง,เมืองขอนแก่น,ขอนแก่น,เขต 7 ขอนแก่น,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,รัฐในสธ.(สังกัด สป.),โรงพยาบาลศูนย์ (รพศ.),54 หมู่ที่- ซอย- ถนนศรีจันทร์ ตำบลในเมือง อำเภอเมืองขอนแก่น จังหวัดขอนแก่น 40000,1098,หน่วยบริการที่รับการส่งต่อทั่วไป CAPITATION,1/10/2561,-
10671-รพ.อุดรธานี,10671,รพ.อุดรธานี,อุดรธานี,17.41498349,102.7804122,71,71,210366,open,,7,10671,โรงพยาบาลศูนย์อุดรธานี,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,เขต 8 อุดรธานี,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,รัฐในสธ.(สังกัด สป.),โรงพยาบาลศูนย์ (รพศ.),33 หมู่ที่- ซอย- ถนนเพาะนิยม ตำบลหมากแข้ง อำเภอเมืองอุดรธานี จังหวัดอุดรธานี 41000,1154,หน่วยบริการที่รับการส่งต่อทั่วไป CAPITATION,8/3/2566,-
10674-รพ.เชียงรายประชานุเคราะห์,10674,รพ.เชียงรายประชานุเคราะห์,เชียงราย,19.90094738,99.82920905,257,264,792000,open,,8,10674,โรงพยาบาลศูนย์เชียงรายประชานุเคราะห์,เวียง,เมืองเชียงราย,เชียงราย,เขต 1 เชียงใหม่,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,รัฐในสธ.(สังกัด สป.),โรงพยาบาลศูนย์ (รพศ.),1039 หมู่ที่- ซอย- ถนนสถานพยาบาล ตำบลเวียง อำเภอเมืองเชียงราย จังหวัดเชียงราย 57000,733,หน่วยบริการที่รับการส่งต่อทั่วไป CAPITATION,1/10/2561,-
10679-รพ.นครปฐม,10679,รพ.นครปฐม,นครปฐม,13.8194,100.0749,-,-,-,open,,9,10679,โรงพยาบาลศูนย์นครปฐม,-,เมืองนครปฐม,นครปฐม,เขต 5 ราชบุรี,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,รัฐในสธ.(สังกัด สป.),โรงพยาบาลศูนย์ (รพศ.),196 หมู่ที่- ซอย- ถนนเทศา ตำบล- อำเภอเมืองนครปฐม จังหวัดนครปฐม 73000,552,หน่วยบริการที่รับการส่งต่อทั่วไป CAPITATION,3/2/2569,-
10680-รพ.มหาราชนครศรีธรรมราช,10680,รพ.มหาราชนครศรีธรรมราช,นครศรีธรรมราช,8.390103918,99.97136505,87,87,261000,open,,10,10680,โรงพยาบาลศูนย์มหาราชนครศรีธรรมราช,ในเมือง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,เขต 11 สุราษฎร์ธานี,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,รัฐในสธ.(สังกัด สป.),โรงพยาบาลศูนย์ (รพศ.),198 หมู่ที่- ซอย- ถนนราชดำเนิน ตำบลในเมือง อำเภอเมืองนครศรีธรรมราช จังหวัดนครศรีธรรมราช 80000,1000,หน่วยบริการที่รับการส่งต่อทั่วไป CAPITATION,7/5/2563,-
