adm2_pcode,province,district,clinic,code5,clinic_province,distance_km,travel_time_min
TH1001,กรุงเทพมหานคร,พระนคร,รพ.ศิริราช,13814.0,กรุงเทพมหานคร,3.32,4.7
TH1002,กรุงเทพมหานคร,ดุสิต,รพ.พระมงกุฎเกล้า,11481.0,กรุงเทพมหานคร,2.42,3.9
TH1003,กรุงเทพมหานคร,หนองจอก,รพ.สิรินธร,15049.0,กรุงเทพมหานคร,31.66,32.0
TH1004,กรุงเทพมหานคร,บางรัก,รพ.จุฬาลงกรณ์สภากาชาดไทย,13756.0,กรุงเทพมหานคร,1.39,2.7
TH1005,กรุงเทพมหานคร,บางเขน,คลินิกเวชกรรม สวท บางเขน,16588.0,กรุงเทพมหานคร,16.65,18.3
TH1006,กรุงเทพมหานคร,บางกะปิ,รพ.คลองตัน โรงพยาบาลทั่วไปขนาดเล็ก,11626.0,กรุงเทพมหานคร,8.6,10.5
TH1007,กรุงเทพมหานคร,ปทุมวัน,รพ.จุฬาลงกรณ์สภากาชาดไทย,13756.0,กรุงเทพมหานคร,1.24,4.4
TH1008,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,รพ.กลาง,11537.0,กรุงเทพมหานคร,0.53,1.5
TH1009,กรุงเทพมหานคร,พระโขนง,รักษ์ลาซาลคลินิกเวชกรรม,42221.0,กรุงเทพมหานคร,5.13,7.7
TH1010,กรุงเทพมหานคร,มีนบุรี,รพ.สิรินธร,15049.0,กรุงเทพมหานคร,16.82,19.9
TH1011,กรุงเทพมหานคร,ลาดกระบัง,รพ.สิรินธร,15049.0,กรุงเทพมหานคร,14.41,17.9
TH1012,กรุงเทพมหานคร,ยานนาวา,รพ.เลิดสิน,11469.0,กรุงเทพมหานคร,5.93,7.5
TH1013,กรุงเทพมหานคร,สัมพันธวงศ์,รพ.กลาง,11537.0,กรุงเทพมหานคร,1.72,3.7
TH1014,กรุงเทพมหานคร,พญาไท,รพ.พระมงกุฎเกล้า,11481.0,กรุงเทพมหานคร,3.14,5.3
TH1015,กรุงเทพมหานคร,ธนบุรี,รพ.สมเด็จพระปิ่นเกล้า,11478.0,กรุงเทพมหานคร,3.49,5.2
TH1016,กรุงเทพมหานคร,บางกอกใหญ่,รพ.สมเด็จพระปิ่นเกล้า,11478.0,กรุงเทพมหานคร,4.56,6.7
TH1017,กรุงเทพมหานคร,ห้วยขวาง,รพ.คลองตัน โรงพยาบาลทั่วไปขนาดเล็ก,11626.0,กรุงเทพมหานคร,7.49,9.5
TH1018,กรุงเทพมหานคร,คลองสาน,รพ.ตากสิน,11539.0,กรุงเทพมหานคร,1.87,4.3
