บริการ,บริการรายการย่อย,Measure Names,หมวดสิทธิ,Measure Values
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนเงินจ่าย,อื่นๆ,57000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนหน่วย,อื่นๆ,8
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนครั้ง,อื่นๆ,19
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนคน,อื่นๆ,19
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนเงินจ่าย,อปท.,333000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนหน่วย,อปท.,26
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนครั้ง,อปท.,116
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนคน,อปท.,116
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนเงินจ่าย,ประกันสังคม,29109731
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนหน่วย,ประกันสังคม,88
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนครั้ง,ประกันสังคม,9883
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนคน,ประกันสังคม,9712
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนเงินจ่าย,บัตรทอง,51589830
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนหน่วย,บัตรทอง,102
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนครั้ง,บัตรทอง,17508
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนคน,บัตรทอง,17396
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนเงินจ่าย,ข้าราชการ,2127240
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนหน่วย,ข้าราชการ,56
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนครั้ง,ข้าราชการ,727
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนคน,ข้าราชการ,723
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนเงินจ่าย,รวมทุกสิทธิ,83216801
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,01_ยา Medabon,จำนวนหน่วย,รวมทุกสิทธิ,108
